Unnamed: 0,id,text,tweets
0,1463658016696381442,RT @VenomMovie: Gobble up the newest #Venom: Let There Be Carnage GIF stickers! Add to all your holiday stories by searching “@VenomMovie”…,rt @USER : gobble #venom : carnage gif stickers ! add holiday stories searching “ @USER ” …
1,1463657849414893572,"RT @thevenomsite: Some new Venom: Let There be Carnage GIFs on the movie’s GIHPHY account for 

Thanksgiving… https://t.co/GTVCKxxrK7",rt @USER : venom : carnage gifs movie ’s gihphy account thanksgiving … URL
2,1463657513564336131,"@therealsupes Don't worry, us Australians will spoil the film on the 16th like you all did for Venom: Let There Be Carnage. Australia only just released that film today 😡

Disclaimer: I will not actually spoil Spider-Man: No Way Home, that was just a joke.","@USER n't worry , australians spoil film 16th venom : carnage . australia released film 😡 disclaimer : actually spoil spider-man : home , joke ."
3,1463657321616355330,RT @VenomMovie: Dive into the details on the walls of Cletus Kasady's cell. What easter eggs can you spot? #Venom: Let There Be Carnage is…,rt @USER : dive details walls cletus kasady 's cell . easter eggs spot ? #venom : carnage …
4,1463657224006508546,Venom 2: Let There Be Carnage (2021) https://t.co/ULlrrThlDQ,venom 2 : carnage ( 2021 ) URL
5,1463656938911248386,Venom: Let There Be Carnage - Exclusive Extended Deleted Clip #Marvel #Venom #Carnage #VenomLetThereBeCarnage #DeletedScenes https://t.co/y45opx9xQi,venom : carnage - exclusive extended deleted clip #marvel #venom #carnage #venomlettherebecarnage #deletedscenes URL
8,1463656365642199049,VENOM: LET THERE BE CARNAGE – Cletus’ Cell | Easter Eggs https://t.co/dpV5LRCIay,venom : carnage – cletus ’ cell | easter eggs URL
12,1463655983423627266,"just missed the cut: the velvet underground, wrath of man, the card counter, old, venom: let there be carnage","missed cut : velvet underground , wrath , card counter , , venom : carnage"
13,1463655928259960835,"RT @SonyPicturesAUS: Venom: Let There Be Carnage starring Tom Hardy and Woody Harrelson, In Cinemas Now.","rt @USER : venom : carnage starring tom hardy woody harrelson , cinemas ."
14,1463655842260164615,Venom: Let There Be Carnage post-credit scene be like https://t.co/kYlGwhlFTr,venom : carnage post-credit scene URL
15,1463655581932265479,&lt;——brb gonna finally watch Venom Let there be Carnage!!!!!,& lt ; — — brb gonna finally watch venom carnage ! ! ! ! !
16,1463655432149291008,"So @VenomMovie is in cinemas now! Read @xander85's review he wrote for @lilithiareviews here:
https://t.co/Sl7xeyBMpM #Venom #LetThereBeCarnage #VenomLetThereBeCarnage",@USER cinemas ! read @USER 's review wrote @USER : URL #venom #lettherebecarnage #venomlettherebecarnage
18,1463655180973395969,VENOM: LET THERE BE CARNAGE - Cletus' Cell | Easter Eggs https://t.co/LrdyRe6iWt via @YouTube,venom : carnage - cletus ' cell | easter eggs URL via @USER
19,1463655011758579713,"Venom: Let there be Carnage (2021) - Regular. No esperaba gran cosa de una nueva entrega del que ahora llamo fenómeno Deadpool. Humor (absurdo) en cantidades industriales, una sarta de incongruencias bien sembradas por todo el guion, y unas escenas de acción normalitas. https://t.co/AHGDhJH1Na","venom : carnage ( 2021 ) - regular . esperaba gran cosa de una nueva entrega del que ahora llamo fenómeno deadpool . humor ( absurdo ) en cantidades industriales , una sarta de incongruencias bien sembradas por todo el guion , unas escenas de acción normalitas . URL"
20,1463654955751854081,RT @RekomenByAsrul: VENOM: LET THERE BE CARNAGE. It’s a fun + thrilling popcorn movie with a fair share of action and humor that’s never me…,rt @USER : venom : carnage . ’s fun + thrilling popcorn movie fair share action humor ’s …
22,1463654260449677321,"RT @SonyPicsHomeEnt: Carnage can be yours when you bring home #Venom: Let There Be Carnage, now on Digital and on Blu-ray December 14! http…","rt @USER : carnage bring home #venom : carnage , digital blu-ray december 14 ! http …"
23,1463654218590478343,RT @QuidVacuo_: Oficialmente se confirma que China baneó 'VENOM LET THERE BE CARNAGE' y no será estrenada en el país. https://t.co/RUQnpulf…,rt @USER : oficialmente se confirma que china baneó 'venom carnage ' será estrenada en el país . URL
25,1463653726191853574,264. (Rewatch) Venom: Let There Be Carnage https://t.co/COPFohJXit,264 . ( rewatch ) venom : carnage URL
26,1463653720709681152,RT @ITSYOBOITOM1: Venom Let There Be Carnage,rt @USER : venom carnage
27,1463653442841419780,My ★★★ review of Venom: Let There Be Carnage on Letterboxd https://t.co/pijYuKSJqa,★ ★ ★ review venom : carnage letterboxd URL
31,1463652962073522179,RT @infomarwars: ¡La escena post-creditos de Venom Let There Be Carnage!🛐 https://t.co/GgRph91kZv,rt @USER : ¡ la escena post-creditos de venom carnage ! 🛐 URL
32,1463652462611640320,"RT @IGN: Watch the first seven minutes of Venom: Let There Be Carnage before it arrives on 4K UHD, Blu-Ray, and DVD on December 14. You can…","rt @USER : watch seven minutes venom : carnage arrives 4k uhd , blu-ray , dvd december 14 . …"
34,1463652201453297674,Venom: Let There Be Carnage https://t.co/17UkU0tJMx,venom : carnage URL
39,1463651530935091203,Estou assistindo Venom: Let There Be Carnage (2021) #koe https://t.co/3DVrAPBpzn #trakt,estou assistindo venom : carnage ( 2021 ) #koe URL #trakt
41,1463651382540525570,Just enjoying watching some venom let there be carnage. Cletus kassady had a fucked up life 😂,enjoying watching venom carnage . cletus kassady fucked life 😂
42,1463651208682430476,RT @georgendebele22: Venom: Let There Be Carnage (2021) | dir. Andy Serkis https://t.co/evZXOW42Qa,rt @USER : venom : carnage ( 2021 ) | dir . andy serkis URL
43,1463650691541516288,"RT @VenomMovie: Carnage can be yours when you bring home #Venom: Let There Be Carnage, now on Digital and on Blu-ray December 14! https://t…","rt @USER : carnage bring home #venom : carnage , digital blu-ray december 14 ! URL"
44,1463650548691910656,Venom Let there be carnage was so underwhelming as expected,venom carnage underwhelming expected
47,1463650232080560128,"RT @Fandango: ""You DO love me!  You do!""

Venom insists he knows Eddie's true feelings in this exclusive scene that's meant to announce tha…","rt @USER : "" love ! ! "" venom insists eddie 's true feelings exclusive scene 's meant announce tha …"
48,1463649443442528261,"@MarvelEstrenos @MarvelDato @MarvelTendencia China: *prohibe el estreno de Venom: Let Be There Carnage*
Los chinos que querían ver la secuela: https://t.co/TuztFeQ6ow",@USER @USER @USER china : * prohibe el estreno de venom : carnage * los chinos que querían ver la secuela : URL
49,1463649376346251270,"my sister is watching venom: let there be carnage and she's like ""uh why is this so gay"" HAHAHAHA.","sister watching venom : carnage 's "" uh gay "" hahahaha ."
50,1463649350849028097,RT @SpiderManBRA: Tom Holland como #SpiderMan em Venom: Let There Be Carnage: https://t.co/T85nQFCn9Q,rt @USER : tom holland como #spiderman em venom : carnage : URL
54,1463649087627030531,"Venom Let There Be Carnage (2021): Venon accidentalmente crea a Carnage, el cual se deposita en el cuerpo de un asesino bien maloso. Es rapida y no se detiene un poco a explicar nada. Y esta bien, aunque eso le quita profundidad. La post credit scene: 👀 Le doy 7/10 Leotitas https://t.co/OxcKrEx4Zf","venom carnage ( 2021 ) : venon accidentalmente crea carnage , el cual se deposita en el cuerpo de un asesino bien maloso . es rapida se detiene un poco explicar nada . esta bien , aunque eso le quita profundidad . la post credit scene : 👀 le doy 7 / 10 leotitas URL"
56,1463648980391247872,"SCHEDULE KAMIS 25/10/2021

YOWIS BEN 3 (R)
Jam : 11:20 | 13:30 | 17:45 | 20:00

VENOM : LET THERE BE CARNAGE (R)
Jam : 11:30 | 15:45 | 17:30 | 19:30

LOSMEN BU BROTO (R)
Jam : 11:45

ENCANTO (SU)
Jam : 13:30 | 15:30

ETERNALS (R)
Jam : 14:10 | 17:00 | 19:50",schedule kamis 25 / 10 / 2021 yowis ben 3 ( ) jam : 11 : 20 | 13 : 30 | 17 : 45 | 20 : 00 venom : carnage ( ) jam : 11 : 30 | 15 : 45 | 17 : 30 | 19 : 30 losmen bu broto ( ) jam : 11 : 45 encanto ( su ) jam : 13 : 30 | 15 : 30 eternals ( ) jam : 14 : 10 | 17 : 00 | 19 : 50
59,1463648709619728391,"Venom: Let There Be Carnage and not really for the movie itself, but rather for the moment, the company...means a lot to me. https://t.co/1YfTuTmpj8","venom : carnage movie , moment , company ... means lot . URL"
60,1463648402072297473,"Venom 2018
Venom : Let There Be Carnage 2021 https://t.co/3NEz7An6Dd https://t.co/SlulLv4WLE",venom 2018 venom : carnage 2021 URL URL
62,1463648162523095043,I know this isn’t one but Godzilla Vs. Kong and Venom: Let There Be Carnage https://t.co/Z89w8ddkD6,n’t godzilla vs . kong venom : carnage URL
63,1463648149050900486,"RT glamadelaide ""The Latest: (Film Review: Venom: Let There be Carnage) https://t.co/ptoQvPB2Ny #Adelaide""","rt glamadelaide "" : ( film review : venom : carnage ) URL #adelaide """
64,1463648060588929025,"We finally got to see Venom 2 Let There Be Carnage here in Western Australia! 

Check out our review on our YouTube channel - https://t.co/i4Dp5iZT4d

#venomlettherebecarnage #moviereview #marvel #sony https://t.co/s6mpOxQdbE",finally venom 2 carnage western australia ! check review youtube channel - URL #venomlettherebecarnage #moviereview #marvel #sony URL
65,1463647990824984577,"Mads har lige anmeldt Venom: Let There Be Carnage, 2021 - ★★½. Læs hans tanker her: https://t.co/9WKy7caOK8","mads har lige anmeldt venom : carnage , 2021 - ★ ★ ½ . læs hans tanker : URL"
66,1463647786482769923,"😳😳😳😳

my ★★★½ review of venom: let there be carnage on @letterboxd: https://t.co/D8oIRS0c7z",😳 😳 😳 😳 ★ ★ ★ ½ review venom : carnage @USER : URL
69,1463647117499531265,Venom Let There Be Carnage https://t.co/ApzK4oIAwM,venom carnage URL
78,1463645773531336709,"91. Venom: Let There Be Carnage.

AKA the ship you didn’t know you needed but once you got it you can’t get enough. I mean, they were already the absolute best on the first one but LOVE CONFESSION? LGBTQ SPEECH?! They’re spoiling me dude honestly thank you. https://t.co/asFz8rfgKw","91 . venom : carnage . aka ship n’t ca n’t . mean , absolute love confession ? lgbtq speech ? ! ’re spoiling dude honestly thank . URL"
79,1463645675275845632,Venom: Let There Be Carnage (2021) ★★★★★☆☆☆☆☆ https://t.co/za9ckFH3EN #trakt,venom : carnage ( 2021 ) ★ ★ ★ ★ ★ ☆ ☆ ☆ ☆ ☆ URL #trakt
81,1463645431724924936,"Vista 'Venom: Let there be Carnage'.

Un buen entretenimiento. Tal vez los puristas digan que hay mil cosas que chirrían con respecto a los tebeos. 

Yo me lo he pasado bien. Es corta y rápida. Abre algunas puertas que me generan dudas a futuro, pero bueno. https://t.co/ccFxwGEQjj","vista 'venom : carnage ' . un buen entretenimiento . tal vez los puristas digan que hay mil cosas que chirrían con respecto los tebeos . yo lo pasado bien . es corta rápida . abre algunas puertas que generan dudas futuro , pero bueno . URL"
84,1463644714545123333,Dans Saga : Venom : Let There Be Carnage d’Andy Serkis (2021) https://t.co/98N85rA8w7,dans saga : venom : carnage ’andy serkis ( 2021 ) URL
92,1463643592925204483,Dive into the details on the walls of Cletus Kasady's cell. What easter eggs can you spot? #Venom: Let There Be Carnage is Now on Digital and on Blu-ray December 14. https://t.co/jXcCnOtP34 https://t.co/03Na9q745C,dive details walls cletus kasady 's cell . easter eggs spot ? #venom : carnage digital blu-ray december 14 . URL URL
93,1463643561174306818,The Latest: (Film Review: Venom: Let There be Carnage) https://t.co/MsFRQt3v0f #Adelaide,: ( film review : venom : carnage ) URL #adelaide
94,1463643407230853122,"Currently Playing: Venom: Let There Be Carnage in #TeamPsycho's discord. Need a link? Hit me up, DMs are open. https://t.co/NAWWB42L7C","currently playing : venom : carnage #teampsycho 's discord . link ? hit , dms . URL"
96,1463643326494781440,I just saw 'venom let there be carnage' and i just can say: TOM HARDY 🤤 https://t.co/bx943Siiai,'venom carnage ' : tom hardy 🤤 URL
99,1463642959090487302,Sony Reveals Spider-Man &amp; Morbius Easter Eggs in Venom Let There Be Carnage https://t.co/YvPrprKasF via @YouTube,sony reveals spider-man & amp ; morbius easter eggs venom carnage URL via @USER
100,1463642799312617475,"Have them kiss in the climax of the third Venom movie 

https://t.co/oXxRXJdoD1",kiss climax third venom movie URL
102,1463642516222361608,"movie
Venom: Let There Be Carnage was recently added.",movie venom : carnage recently added .
104,1463642477571706889,Sony Announce Venom: Let There Be Carnage UK Home Release Info https://t.co/aTkpGaQea1,sony announce venom : carnage uk home release info URL
105,1463642413470257152,Let’s hear it for Venom: Let There Be Carnage still being in theaters.  That’s pretty rad. https://t.co/3tj9z6uvcD,’s hear venom : carnage theaters . ’s pretty rad . URL
107,1463641550676758533,"@MCUKTA @DiscussingFilm The Venom: Let There Be Carnage Blu-Ray &amp; Dvd will be released December 14, 2021 in the United States &amp; Canada.","@USER @USER venom : carnage blu-ray & amp ; dvd released december 14 , 2021 united & amp ; canada ."
108,1463641540761247749,"Y finalmente...
Venom: Let There Be Carnage
Spider-Man
The Amazing Spider-Man
The Amazing Spider-Man 2

Como que le gustan los ojos a Sony
Hasta acá el hilo https://t.co/dAdvlWtbuy",finalmente ... venom : carnage spider-man amazing spider-man amazing spider-man 2 como que le gustan los ojos sony hasta acá el hilo URL
109,1463641339887865862,"82. Venom let there be carnage. 2021
7/10 estuvo muy bien amo a venom y a eddie con toda mi alma pero mg mas la primera https://t.co/aeqvtQy2fC",82 . venom carnage . 2021 7 / 10 estuvo muy bien amo venom eddie con toda mi alma pero mg mas la primera URL
110,1463640877650399232,RT @SonyPictures: The wait is over! #Venom: Let There Be Carnage is Now available On Digital! Get it today: https://t.co/rYnmaejq3V. https:…,rt @USER : wait ! #venom : carnage available digital ! : URL URL
112,1463640016929030144,"Last One Standing (feat. Polo G, Mozzy &amp; Eminem) - From Venom: Let There Be Carnage by Skylar Grey #Spotify https://t.co/SR1Hpulgk2","standing ( feat . polo , mozzy & amp ; eminem ) - venom : carnage skylar grey #spotify URL"
114,1463639129632165895,Saw Venom: Let There Be Carnage and it was fucking rad I really loved it,venom : carnage fucking rad loved
115,1463638964947017736,venom: let there be carnage (2021) https://t.co/Xsp3LZpljE,venom : carnage ( 2021 ) URL
