,text
0,"""We report a cluster of Omicron variant infections in individuals who had received full primary vaccination series and booster doses with mRNA vaccines. All patients experienced symptomatic COVID-19 but clinical manifestations were mild to moderate."""
1,"UK government is blocking sharing of knowledge of how to make vaccines, says @carla_denyer

We should be supporting ending patents on life saving vaccines

So UK government is putting private profit over protecting the world against Covid

#bbcaq"
2,"Still waiting for an apology from Mark Meadows, Mike Pence, Keith Kellogg &amp; other fmr colleagues from the Trump White House who called me a liar/disgruntled employee for telling Americans the truth about Trump’s recklessness on Covid when it mattered &amp; not saving it for a book."
3,Voters in Trump counties far more likely to die of #Covid  https://t.co/eVGY0VDfkD
4,"It actually disgusts me how our wonderful NHS are treating non covid patients. Basically, if it isnt covid then they just dont care. My very unwell Grandma was sent home at 2am this morning, they don't know whats wrong with her. This is exactly what happened with my Grandad"
5,"Right now 100% of the patients on our Critical Care Covid unit are unvaccinated.

They are young. 
All between 30 - 57 years old.
All eligible for a vaccine.

Severe covid is a preventable disease. 

Please get the Jab and when asked get a booster."
6,"5% all beds with Covid patients. 70% all Obiad admissions fully vaxed. 

Any other statement is a lie. 

However the wards are overflowing with 10,000 well elderly who cannot be discharged to the community because the gov saw 40,000 leave due to no jab/no job. 

Wake up please! https://t.co/GcarxeQN6D"
7,"Channels with thousands of subscribers have now been set up solely to connect unvaccinated Canadians with potential employers.
 
https://t.co/edEwMxzUNO"
8,"Every three days, one out of every thousand Americans becomes a new COVID infection. https://t.co/eDfBm4HkAf"
9,PCR test has been recalled &amp; taken off the market in USA this month because it couldn’t diagnose between Covid 19 &amp; the flu. So ALL PREVIOUSLY LABELLED COVID DEATHS ARE NOW QUESTIONABLE.
10,"Based on the Christmas at Blenheim Palace capacities and the managed ticket times, we understand that there will not be a requirement to implement the COVID passport onsite. We will recommend that guests undertake a lateral flow test prior to their visit."
11,"Helping the animals brought the volunteers satisfaction and complacence, as well as fame in the community, says the founder and president of JU-based DESRF
#COVID19 #Dhaka #Animals https://t.co/GxA6cGiO4b"
